group,regimen,covariate,phenotype,MIC_mg_L,target,n,attained_n,PTA,PTA_lower_95,PTA_upper_95
fac4_min_CI,Continuous infusion,Factor 4,Low,256,100% fT>4xMIC,10000,0,0,0,0.000383998370676596
fac4_min_CI,Continuous infusion,Factor 4,Low,0.25,100% fT>MIC,10000,10000,1,0.999616001629323,1
fac4_min_CI,Continuous infusion,Factor 4,Low,0.5,100% fT>MIC,10000,10000,1,0.999616001629323,1
fac4_min_CI,Continuous infusion,Factor 4,Low,1,100% fT>MIC,10000,10000,1,0.999616001629323,1
fac4_min_CI,Continuous infusion,Factor 4,Low,2,100% fT>MIC,10000,10000,1,0.999616001629323,1
fac4_min_CI,Continuous infusion,Factor 4,Low,4,100% fT>MIC,10000,10000,1,0.999616001629323,1
fac4_min_CI,Continuous infusion,Factor 4,Low,8,100% fT>MIC,10000,10000,1,0.999616001629323,1
fac4_min_CI,Continuous infusion,Factor 4,Low,16,100% fT>MIC,10000,10000,1,0.999616001629323,1
fac4_min_CI,Continuous infusion,Factor 4,Low,32,100% fT>MIC,10000,9791,0.9791,0.976106813339297,0.981725239421921
fac4_min_CI,Continuous infusion,Factor 4,Low,64,100% fT>MIC,10000,5255,0.5255,0.515705015472617,0.535275400610479
fac4_min_CI,Continuous infusion,Factor 4,Low,128,100% fT>MIC,10000,276,0.0276,0.024566008678009,0.0309967929826063
fac4_min_CI,Continuous infusion,Factor 4,Low,256,100% fT>MIC,10000,0,0,0,0.000383998370676596
fac4_max_QDS,Intermittent short infusion (QDS),Factor 4,High,0.25,100% fT>4xMIC,10000,10000,1,0.999616001629323,1
fac4_max_QDS,Intermittent short infusion (QDS),Factor 4,High,0.5,100% fT>4xMIC,10000,10000,1,0.999616001629323,1
fac4_max_QDS,Intermittent short infusion (QDS),Factor 4,High,1,100% fT>4xMIC,10000,10000,1,0.999616001629323,1
fac4_max_QDS,Intermittent short infusion (QDS),Factor 4,High,2,100% fT>4xMIC,10000,10000,1,0.999616001629323,1
fac4_max_QDS,Intermittent short infusion (QDS),Factor 4,High,4,100% fT>4xMIC,10000,10000,1,0.999616001629323,1
fac4_max_QDS,Intermittent short infusion (QDS),Factor 4,High,8,100% fT>4xMIC,10000,9971,0.9971,0.995838225453434,0.997980003366439
fac4_max_QDS,Intermittent short infusion (QDS),Factor 4,High,16,100% fT>4xMIC,10000,9250,0.925,0.919672837003621,0.930000764381304
fac4_max_QDS,Intermittent short infusion (QDS),Factor 4,High,32,100% fT>4xMIC,10000,4360,0.436,0.426307202829019,0.445741948962427
